,country,year_count,country,chinese
229,Turkmenistan,2860,Turkmenistan,_____
230,Turks and Caicos Islands,19,Turks and Caicos Islands,_________
231,Tuvalu,19,Tuvalu,___
232,Uganda,16937,Uganda,___
233,Ukraine,11104,Ukraine,___
234,United Arab Emirates,243,United Arab Emirates,________
235,United Kingdom,193,United Kingdom,__
236,Uruguay,526,Uruguay,___
237,Uzbekistan,4216,Uzbekistan,______
238,Vanuatu,572,Vanuatu,____
239,Venezuela,1757,Venezuela,____
240,Vietnam,5929,Vietnam,__
241,Vietnam (former South),192,Vietnam (former South),______
242,West Africa Region,7048,West Africa Region,____
243,West Bank/Gaza,6860,West Bank/Gaza,_____/__
244,Western (Spanish) Sahara,3,Western (Spanish) Sahara,_____________
245,Western Europe Region,41,Western Europe Region,____
246,Western Hemisphere Region,252,Western Hemisphere Region,_____
247,World,97137,World,__
248,Yemen,4370,Yemen,__
249,Yemen (former P.D.R.),9,Yemen (former P.D.R.),____P.D.R._
250,Yugoslavia (former),44,Yugoslavia (former),_______
251,Zambia,10551,Zambia,___
252,Zimbabwe,7653,Zimbabwe,____
